Disc,TrackStart,TrackEnd,Work,Composer,Conductor,Orchestra,Year,Movements
1,1,4,"Symphonie espagnole in D minor, op. 21",Édouard Lalo,Eugene Ormandy,The Philadelphia Orchestra,1944,4
1,5,5,Prince Igor: Polovtsian Dances,Александр Порфирьевич Бородин,Eugene Ormandy,The Philadelphia Orchestra,1944,1
1,6,6,Ancient Airs and Dances Suite no. 3,Ottorino Respighi,Eugene Ormandy,The Philadelphia Orchestra,1946,1
1,7,7,Orphée et Eurydice: Mélodie,Christoph Willibald Gluck,Eugene Ormandy,The Philadelphia Orchestra,1949,1
1,8,8,Dichter und Bauer,Franz von Suppé,Eugene Ormandy,The Philadelphia Orchestra,1950,1
2,1,4,My Country at War,Harl McDonald,Eugene Ormandy,The Philadelphia Orchestra,1944,4
2,5,7,Sea Chanty,Paul White,Eugene Ormandy,The Philadelphia Orchestra,1945,3
2,8,8,"Serenade for Flute, Harp and String Orchestra, op. 35: Andante con moto (𝅘𝅥 = 69-72)",Howard Hanson,Eugene Ormandy,The Philadelphia Orchestra,1947,1
2,9,9,Night Soliloquy: Largo (𝅘𝅥 = 50),Kent Kennan,Eugene Ormandy,The Philadelphia Orchestra,1950,1
3,1,4,"Symphony no. 7 in A major, op. 92",Ludwig van Beethoven,Eugene Ormandy,The Philadelphia Orchestra,1944,4
3,5,8,"Sinfonie Nr. 4 e-Moll, op. 98",Johannes Brahms,Eugene Ormandy,The Philadelphia Orchestra,1944,4
4,1,4,"Concerto for Piano and Orchestra no. 2 in B-flat major, op. 83",Johannes Brahms,Eugene Ormandy,The Philadelphia Orchestra,"1943, 1945",4
4,5,7,"Concerto for Piano and Orchestra in A minor, op. 54",Robert Schumann,Eugene Ormandy,The Philadelphia Orchestra,1946,3
5,1,3,"Konzert für Violine und Orchester D-Dur, op. 77",Johannes Brahms,Eugene Ormandy,The Philadelphia Orchestra,1945,3
6,1,1,"The Red Poppy Suite, op. 70",Рейнгольд Морицевич Глиэр,Saul Caston,The Philadelphia Orchestra,1945,1
6,2,2,Malazarte: Batuque,Eugene Ormandy,Saul Caston,The Philadelphia Orchestra,1945,1
6,3,3,"Three Dances from ""The Bartered Bride""",Bedřich Smetana,Eugene Ormandy,The Philadelphia Orchestra,1945,1
6,4,4,"Slawische Tänze, op. 72, B. 147",Antonín Dvořák,Eugene Ormandy,The Philadelphia Orchestra,1945,1
6,5,5,"21 Hungarian Dances for Orchestra, WoO 1",Johannes Brahms,Eugene Ormandy,The Philadelphia Orchestra,1945,1
6,6,6,"Wein, Weib ung Gesang, op. 333 (Waltz)",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1945,1
6,7,7,"La Damoiselle élue, L 62",Claude Debussy,Eugene Ormandy,The Philadelphia Orchestra,1947,1
7,1,2,"Nocturnes, L. 91, CD 98",Claude Debussy,Eugene Ormandy,The Philadelphia Orchestra,1944,2
7,3,6,"Pini di Roma, P 141",Ottorino Respighi,Eugene Ormandy,The Philadelphia Orchestra,1946,4
8,1,3,"Cello Concerto in B minor, op. 104",Antonín Dvořák,Eugene Ormandy,The Philadelphia Orchestra,1946,3
